220211040,10,1,1
220211040,11,1,4
220211040,1,5,1
220211040,2,5,1
220211040,3,5,1
220211040,4,5,1
220211040,6,5,1
220211040,7,5,3
220211040,8,5,1
220211040,9,5,1
220211040,10,5,1
220211040,11,5,1
220211040,7,7,3
222222222,1,4,1
222222222,2,4,1
222222222,4,4,1
222222222,5,4,4
222222222,6,4,1
222222222,7,4,1
222222222,8,4,1
222222222,9,4,4
222222222,10,4,2
240079931,1,9,2
240079931,2,9,1
240079931,3,9,2
240079931,4,9,2
240079931,5,9,2
240079931,6,9,2
240079931,7,9,2
240079931,8,9,2
240079931,10,9,2
240079931,11,9,2
240079931,12,9,2
221110009,11,9,3
250559940,10,1,1
250559940,11,1,2
250559940,12,1,1
250559940,13,1,4
250559940,15,2,1
250559940,14,1,3
233455670,1,2,1
233455670,2,2,1
233455670,3,2,1
233455670,4,2,2
233455670,5,2,4
233455670,6,2,4
233455670,7,2,4
